n00093006	capitalization
n00093127	overcapitalization
n00093354	reclamation
n00093483	rescue
n00093874	lifesaving
n00094001	redemption
n00094240	absolution
n00094500	indulgence
n00094788	conversion
n00094954	proselytism
n00095121	expiation
n00095329	reparation
n00095502	liberation
n00095873	jail delivery
n00095971	reclamation
n00096211	salvage
n00096343	salvage
n00096513	salvation
n00096720	search and rescue mission
n00096851	ransom
n00096969	recapture
n00097122	recapture
n00097244	invocation
n00097348	instrumentation
n00097504	performance
n00097923	specific performance
n00098051	linguistic performance
n00098385	mechanism
n00098625	service
n00098822	curb service
n00098939	self-service
n00099061	valet parking
n00099267	dramatic production
n00099439	encore
n00099588	extemporization
n00099799	juggle
n00099951	magic trick
n00100253	musical performance
n00100437	one-night stand
n00100543	rendition
n00100889	reinterpretation
n00101003	spin
n00101191	playing
n00101410	bowing
n00101570	spiccato
n00101708	piping
n00101809	stopping
n00102039	double stopping
n00102162	transposition
n00102374	jam session
n00102457	automation
n00102779	computerization
n00102927	motorization
n00103140	launching
n00103291	launching
n00103419	rocket firing
n00103590	blastoff
n00103737	moon shot
n00103834	drive
n00104088	firewall
n00104249	impulse
n00104409	roll
n00104539	throw
n00104976	bowling
n00105164	fling
n00105271	heave
n00105479	hurl
n00105624	leaner
n00105820	pass
n00106104	pitch
n00106272	pitch
n00106726	ringer
n00106888	shy
n00107016	slinging
n00107137	throw-in
n00107279	balk
n00107400	ball
n00107551	beanball
n00107684	change-up
n00107875	curve
n00108081	duster
n00108181	fastball
n00108427	knuckleball
n00108545	overhand pitch
n00108665	passed ball
n00108818	screwball
n00108965	sinker
n00109081	slider
n00109227	spitball
n00109414	strike
n00109771	submarine ball
n00109892	wild pitch
n00110057	basketball shot
n00110415	bank shot
n00110554	dunk
n00110745	slam dunk
n00110834	finger-roll
n00110964	foul shot
n00111222	one-and-one
n00111358	hook shot
n00111503	jumper
n00111660	lay-up
n00111839	pivot shot
n00111962	set shot
n00112072	scoop shot
n00112185	tip in
n00112312	push
n00112674	depression
n00112828	click
n00112997	nudge
n00113113	press
n00113532	impression
n00113726	shove
n00113954	bundling
n00114095	jostle
n00114298	elbowing
n00114431	pull
n00114871	drag
n00115036	draw
n00115292	tow
n00115500	tug
n00115667	draft
n00115803	extirpation
n00116008	pluck
n00116122	traction
n00116376	lift
n00116687	expulsion
n00116989	defenestration
n00117124	accommodation reflex
n00117267	Babinski
n00117578	belch
n00117810	belching
n00117959	blink
n00118268	blush
n00118445	coughing up
n00118552	spit
n00118733	vomit
n00119079	rumination
n00119210	hematemesis
n00119297	hyperemesis
n00119402	hyperemesis gravidarum
n00119568	jump
n00119893	header
n00120010	hop
n00120202	leap
n00120515	vault
n00120647	jumping up and down
n00120804	lob
n00120943	centering
n00121166	sending
n00121366	transmission
n00121645	forwarding
n00121904	referral
n00122106	remission
n00122338	mailing
n00122530	wheeling
n00122661	shooting
n00122954	shoot
n00123143	countershot
n00123234	discharge
n00123430	gun
n00123652	fire control
n00123783	gunfire
n00124008	enfilade
n00124151	snipe
n00124256	headshot
n00124342	skeet
n00124536	shellfire
n00124617	gunfight
n00124766	potshot
n00124880	contact
n00125126	rub
n00125315	scuff
n00125436	tap
n00125629	hit
n00126100	contusion
n00126236	crash
n00126447	impingement
n00126584	batting
n00126721	fielding
n00126886	catching
n00127021	golfing
n00127151	pitching
n00127286	base on balls
n00127531	best
n00127672	worst
n00127866	fair ball
n00128091	foul ball
n00128324	snick
n00128477	bunt
n00128638	fly
n00128867	blast
n00128976	pop fly
n00129089	grounder
n00129317	chop
n00129435	roller
n00129527	out
n00129743	force out
n00130093	putout
n00130347	strikeout
n00130512	whiff
n00130673	fielder's choice
n00130846	sacrifice
n00130987	sacrifice fly
n00131090	base hit
n00131347	daisy cutter
n00131485	header
n00131608	liner
n00131791	scorcher
n00131877	line-drive single
n00131991	line-drive double
n00132105	line-drive triple
n00132219	plunk
n00132355	homer
n00132497	solo homer
n00132601	single
n00132756	double
n00132982	triple
n00133160	backhander
n00133234	clip
n00133338	knock
n00133567	thwack
n00133668	smack
n00133875	smacker
n00133981	knockdown
n00134099	knockout
n00134246	technical knockout
n00134391	swat
n00134472	spank
n00134574	whip
n00134780	punch
n00135148	box
n00135311	dig
n00135504	counterpunch
n00135637	haymaker
n00135799	hook
n00135952	jab
n00136048	rabbit punch
n00136152	sucker punch
n00136230	roundhouse
n00136329	kick
n00136691	goal-kick
n00136876	goal-kick
n00136984	punt
n00137279	place kick
n00137534	free kick
n00137709	corner kick
n00137877	dropkick
n00138078	kiss
n00138221	kiss
n00138441	laying on
n00138599	smack
n00138734	smacker
n00138799	soul kiss
n00138956	catch
n00139544	fair catch
n00139758	interception
n00139919	reception
n00140112	rebound
n00140264	shoestring catch
n00140393	mesh
n00140652	handling
n00140900	fingering
n00141027	grope
n00141176	audit
n00141396	autopsy
n00141669	check-in
n00141806	check
n00142140	spot check
n00142361	checkup
n00142665	comparison
n00143057	fine-tooth comb
n00143251	follow-up
n00143536	going-over
n00143626	once-over
n00143763	ophthalmoscopy
n00143885	palpation
n00144182	ballottement
n00144445	tickle
n00144632	stroke
n00144778	caress
n00145024	tag
n00145218	joining
n00145779	hit
n00145929	interconnection
n00146111	intersection
n00146277	approximation
n00146443	concatenation
n00146572	convergence
n00146856	merging
n00147091	concourse
n00147187	encounter
n00147314	articulation
n00147454	junction
n00147595	fastening
n00147862	loosening
n00148057	tightening
n00148242	ligation
n00148446	tubal ligation
n00148653	bonding
n00148762	doweling
n00148836	grounding
n00148978	linkage
n00149084	tying
n00149262	untying
n00149508	welding
n00149699	butt welding
n00149895	spot welding
n00150097	flare
n00150228	Texas leaguer
n00150379	flash welding
n00150591	lick
n00150762	grazing
n00150932	tracing
n00151087	detection
n00151314	self-discovery
n00151409	breakthrough
n00151497	determination
n00151914	rediscovery
n00152018	designation
n00152230	Bertillon system
n00152338	fingerprinting
n00152519	genetic profiling
n00152727	diagnosis
n00152990	blood typing
n00153105	medical diagnosis
n00153288	prenatal diagnosis
n00153499	differential diagnosis
n00153665	prognosis
n00153809	resolution
n00153961	validation
n00154233	authentication
n00154433	documentation
n00154689	monetization
n00154894	probate
n00155085	demonetization
n00155298	falsification
n00155487	localization
n00155797	echolocation
n00155970	predetermination
n00156119	rectification
n00156293	redetermination
n00156390	trigger
n00156625	fomentation
n00156812	compulsion
n00157081	influence
n00157318	cross-pollination
n00157463	exposure
n00157687	overexposure
n00157877	underexposure
n00157957	impingement
n00158185	manipulation
n00158443	mind game
n00158805	autosuggestion
n00158996	hypnotism
n00159177	inducement
n00159396	corruption
n00159620	enticement
n00159899	blandishment
n00160073	ingratiation
n00160297	leading astray
n00160415	seduction
n00160532	seduction
n00160688	sexual conquest
n00160922	cuckoldry
n00161044	solicitation
n00161243	choice
n00161603	casting
n00161739	coloration
n00161888	sampling
n00162055	random sampling
n00162236	lucky dip
n00162417	stratified sampling
n00162632	decision
n00163047	volition
n00163233	intention
n00163406	about-face
n00163630	adulteration
n00163779	appointment
n00164152	nomination
n00164345	assignment
n00164579	allocation
n00164801	call
n00164999	co-option
n00165178	delegacy
n00165298	ordination
n00165563	recognition
n00165793	laying on of hands
n00165942	move
n00166172	move
n00166355	chess move
n00166552	castle
n00166702	capture
n00166865	en passant
n00167063	exchange
n00167278	exchange
n00167446	check
n00167580	discovered check
n00167764	checkmate
n00167950	gambit
n00168121	demarche
n00168237	maneuver
n00168505	parking
n00168658	move
n00168911	flit
n00169047	downshift
n00169147	downshift
n00169305	bank
n00169522	vertical bank
n00169651	chandelle
n00169811	loop
n00170005	inside loop
n00170172	outside loop
n00170340	roll
n00170536	barrel roll
n00170643	snap roll
n00170710	slip
n00170844	flight maneuver
n00171050	straight-arm
n00171249	device
n00171507	mnemonic
n00171618	trick
n00171882	shtik
n00172073	feint
n00172217	juke
n00172347	footwork
n00172490	ploy
n00172598	ruse
n00172710	means
n00173172	dint
n00173283	escape
n00173487	fast track
n00173761	instrument
n00174003	road
n00174127	royal road
n00174260	stepping stone
n00174412	measure
n00174663	countermeasure
n00174782	bear hug
n00174950	proxy fight
n00175174	leveraged buyout
n00175433	bust-up takeover
n00175605	shark repellent
n00175875	golden parachute
n00176052	greenmail
n00176312	pac-man strategy
n00176449	poison pill
n00176609	suicide pill
n00176766	safe harbor
n00176994	scorched-earth policy
n00177127	diagnostic procedure
n00177448	expedient
n00177638	backstop
n00177783	emergency procedure
n00178024	experimental procedure
n00178177	double-blind procedure
n00178551	makeshift
n00178700	crutch
n00178832	improvisation
n00178972	pis aller
n00179125	desperate measure
n00179275	open sesame
n00179380	salvation
n00179576	tooth
n00179683	voice
n00179916	wings
n00180054	casting lots
n00180228	resolution
n00180413	adoption
n00180770	embrace
n00180962	election
n00181191	co-option
n00181373	reelection
n00181495	plebiscite
n00181640	referendum
n00181781	election
n00182213	vote
n00182435	general election
n00182571	primary
n00182723	direct primary
n00182897	closed primary
n00183084	open primary
n00183240	by-election
n00183357	runoff
n00183505	vote
n00183995	block vote
n00184135	cumulative vote
n00184362	secret ballot
n00184501	split ticket
n00184652	straight ticket
n00184802	multiple voting
n00184981	casting vote
n00185104	reconciliation
n00185307	equation
n00185438	breech delivery
n00185612	frank breech
n00185778	cesarean delivery
n00186251	forceps delivery
n00186549	midwifery
n00186634	score
n00187056	bowling score
n00187144	bull's eye
n00187337	goal
n00187499	own goal
n00187710	strike
n00187890	spare
n00188007	open frame
n00188183	audible
n00188341	football score
n00188449	touchback
n00188620	safety
n00188766	touchdown
n00188934	field goal
n00189106	conversion
n00189257	point after
n00189476	baseball score
n00189565	run
n00189896	earned run
n00190040	unearned run
n00190180	run batted in
n00190338	basketball score
n00190431	basket
n00190579	hat trick
n00190783	solution
n00190931	Russian roulette
n00191142	change
n00191980	filtration
n00192149	percolation
n00192300	reduction
n00192457	schematization
n00192613	economy
n00192910	retrenchment
n00193099	economy of scale
n00193225	accommodation
n00193406	adaptation
n00193622	dark adaptation
n00193811	light adaptation
n00194005	take-up
n00194127	readjustment
n00194257	domestication
n00194414	decimalization
n00194645	metrification
n00194831	habituation
n00194969	variation
n00195194	variation
n00195415	turning
n00195569	diversification
n00195938	flux
n00196084	switch
n00196402	switcheroo
n00196485	substitution
n00196848	novation
n00197136	pitching change
n00197229	superannuation
n00197419	supersedure
n00197610	supplanting
n00197772	replacement
n00198118	subrogation
n00198270	weaning
n00198451	promotion
n00198631	preferment
n00198793	demotion
n00198919	investment
n00199130	change of state
n00199707	alteration
n00200041	distraction
n00200244	aeration
n00200379	modulation
n00200563	qualification
n00200768	reorganization
n00201058	passage
n00201269	fossilization
n00201397	segue
n00201516	meddling
n00201671	transfer
n00201923	prohibition
n00202284	resistance
n00202620	lockout
n00202816	reaction
n00203020	backlash
n00203208	whitelash
n00203342	rejection
n00203649	brush-off
n00203753	avoidance
n00204022	aversion
n00204199	escape
n00204334	near thing
n00204439	abandonment
n00204659	exposure
n00204814	apostasy
n00204943	bolt
